                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.00512,                  0.985,                      1,                 1.1822,              7.492e-05,              7.492e-05,              7.492e-05
                     41,                0.00208,                 0.9875,                      1,                 1.1776,              7.426e-05,              7.426e-05,              7.426e-05
                     42,                0.00144,                 0.9865,                      1,                 1.1782,               7.36e-05,               7.36e-05,               7.36e-05
                     43,                0.00019,                 0.9855,                      1,                 1.1801,              7.294e-05,              7.294e-05,              7.294e-05
                     44,                0.00033,                 0.9855,                      1,                 1.1791,              7.228e-05,              7.228e-05,              7.228e-05
                     45,                0.00024,                  0.986,                      1,                 1.1791,              7.162e-05,              7.162e-05,              7.162e-05
                     46,                0.00011,                  0.986,                      1,                 1.1794,              7.096e-05,              7.096e-05,              7.096e-05
                     47,                  7e-05,                  0.986,                      1,                 1.1823,               7.03e-05,               7.03e-05,               7.03e-05
                     48,                  7e-05,                  0.986,                 0.9995,                 1.1802,              6.964e-05,              6.964e-05,              6.964e-05
                     49,                0.00015,                  0.984,                 0.9995,                 1.1822,              6.898e-05,              6.898e-05,              6.898e-05
                     50,                 0.0001,                  0.983,                 0.9995,                 1.1829,              6.832e-05,              6.832e-05,              6.832e-05
                     51,                  5e-05,                 0.9825,                 0.9995,                 1.1818,              6.766e-05,              6.766e-05,              6.766e-05
                     52,                  4e-05,                  0.982,                  0.999,                 1.1819,                6.7e-05,                6.7e-05,                6.7e-05
                     53,                  3e-05,                  0.982,                  0.999,                 1.1831,              6.634e-05,              6.634e-05,              6.634e-05
                     54,                0.02822,                 0.9815,                 0.9995,                 1.1812,              6.568e-05,              6.568e-05,              6.568e-05
                     55,                0.00924,                  0.984,                      1,                 1.1799,              6.502e-05,              6.502e-05,              6.502e-05
                     56,                0.00351,                  0.986,                      1,                 1.1794,              6.436e-05,              6.436e-05,              6.436e-05
                     57,                0.00086,                 0.9865,                 0.9995,                 1.1791,               6.37e-05,               6.37e-05,               6.37e-05
                     58,                0.00251,                 0.9865,                 0.9995,                 1.1791,              6.304e-05,              6.304e-05,              6.304e-05
                     59,                0.00156,                 0.9865,                 0.9995,                   1.18,              6.238e-05,              6.238e-05,              6.238e-05
                     60,                0.00207,                 0.9865,                 0.9995,                 1.1796,              6.172e-05,              6.172e-05,              6.172e-05
                     61,                 0.0017,                 0.9855,                      1,                 1.1793,              6.106e-05,              6.106e-05,              6.106e-05
                     62,                0.00403,                 0.9855,                 0.9995,                 1.1791,               6.04e-05,               6.04e-05,               6.04e-05
                     63,                0.00451,                 0.9855,                 0.9995,                 1.1801,              5.974e-05,              5.974e-05,              5.974e-05
                     64,                0.00167,                  0.986,                 0.9995,                 1.1791,              5.908e-05,              5.908e-05,              5.908e-05
                     65,                0.00468,                 0.9865,                 0.9995,                 1.1788,              5.842e-05,              5.842e-05,              5.842e-05
                     66,                0.00337,                  0.986,                 0.9995,                 1.1788,              5.776e-05,              5.776e-05,              5.776e-05
                     67,                0.00073,                  0.986,                 0.9995,                 1.1788,               5.71e-05,               5.71e-05,               5.71e-05
                     68,                0.00032,                 0.9855,                 0.9995,                 1.1788,              5.644e-05,              5.644e-05,              5.644e-05
                     69,                0.00174,                  0.986,                 0.9995,                 1.1794,              5.578e-05,              5.578e-05,              5.578e-05
                     70,                0.00352,                  0.986,                 0.9995,                 1.1784,              5.512e-05,              5.512e-05,              5.512e-05
                     71,                0.00366,                  0.986,                 0.9995,                 1.1782,              5.446e-05,              5.446e-05,              5.446e-05
                     72,                 0.0008,                  0.986,                 0.9995,                 1.1779,               5.38e-05,               5.38e-05,               5.38e-05
                     73,                0.00051,                  0.987,                 0.9995,                 1.1778,              5.314e-05,              5.314e-05,              5.314e-05
                     74,                0.00015,                 0.9875,                 0.9995,                 1.1776,              5.248e-05,              5.248e-05,              5.248e-05
                     75,                  6e-05,                 0.9875,                 0.9995,                 1.1774,              5.182e-05,              5.182e-05,              5.182e-05
