                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 0.0137,                 0.9875,                      1,                 1.1779,              0.0007558,              0.0007558,              0.0007558
                     40,                0.02632,                  0.987,                      1,                 1.1802,              0.0007492,              0.0007492,              0.0007492
                     41,                0.01716,                 0.9845,                      1,                 1.1794,              0.0007426,              0.0007426,              0.0007426
                     42,                0.01859,                 0.9855,                      1,                 1.1799,               0.000736,               0.000736,               0.000736
                     43,                0.01386,                 0.9855,                      1,                 1.1801,              0.0007294,              0.0007294,              0.0007294
                     44,                0.01166,                 0.9855,                      1,                 1.1787,              0.0007228,              0.0007228,              0.0007228
                     45,                0.02869,                  0.987,                      1,                 1.1782,              0.0007162,              0.0007162,              0.0007162
                     46,                0.01668,                 0.9865,                      1,                 1.1781,              0.0007096,              0.0007096,              0.0007096
                     47,                0.00858,                  0.987,                      1,                 1.1776,               0.000703,               0.000703,               0.000703
                     48,                0.01371,                  0.988,                      1,                 1.1774,              0.0006964,              0.0006964,              0.0006964
                     49,                0.01283,                  0.988,                      1,                 1.1778,              0.0006898,              0.0006898,              0.0006898
                     50,                0.01623,                 0.9875,                      1,                 1.1781,              0.0006832,              0.0006832,              0.0006832
                     51,                0.01474,                  0.987,                      1,                 1.1774,              0.0006766,              0.0006766,              0.0006766
                     52,                0.01297,                 0.9865,                      1,                 1.1779,                0.00067,                0.00067,                0.00067
                     53,                 0.0134,                  0.986,                      1,                 1.1779,              0.0006634,              0.0006634,              0.0006634
                     54,                0.01334,                  0.986,                      1,                 1.1781,              0.0006568,              0.0006568,              0.0006568
                     55,                0.01293,                  0.986,                      1,                  1.178,              0.0006502,              0.0006502,              0.0006502
                     56,                0.01136,                  0.986,                      1,                 1.1783,              0.0006436,              0.0006436,              0.0006436
                     57,                0.01824,                 0.9865,                      1,                 1.1779,               0.000637,               0.000637,               0.000637
                     58,                 0.0097,                  0.987,                      1,                 1.1779,              0.0006304,              0.0006304,              0.0006304
                     59,                0.01077,                  0.986,                      1,                 1.1784,              0.0006238,              0.0006238,              0.0006238
                     60,                0.00705,                 0.9865,                      1,                 1.1783,              0.0006172,              0.0006172,              0.0006172
                     61,                0.00908,                 0.9865,                      1,                 1.1776,              0.0006106,              0.0006106,              0.0006106
                     62,                0.01921,                 0.9865,                      1,                 1.1777,               0.000604,               0.000604,               0.000604
                     63,                0.00856,                 0.9865,                      1,                 1.1779,              0.0005974,              0.0005974,              0.0005974
                     64,                0.01393,                 0.9865,                      1,                 1.1776,              0.0005908,              0.0005908,              0.0005908
                     65,                0.01076,                  0.987,                      1,                 1.1775,              0.0005842,              0.0005842,              0.0005842
